codigo_postal,balanced_kmeans,latitud,longitud,zone,subzone
08810,green,19.3863086700439,-99.1307067871094,Iztapalapa 1,3.0
08830,green,19.3807716369629,-99.1228790283203,Iztapalapa 1,3.0
08840,green,19.3784675598145,-99.1342620849609,Iztapalapa 1,3.0
08900,green,19.3864765167236,-99.1052856445313,Iztapalapa 1,3.0
08910,green,19.3880023956299,-99.1210174560547,Iztapalapa 1,3.0
08920,green,19.3881797790527,-99.1181030273438,Iztapalapa 1,3.0
08930,green,19.3852233886719,-99.113655090332,Iztapalapa 1,3.0
09000,green,19.3582801818848,-99.0934143066406,Iztapalapa 1,2.0
09010,green,19.389440536499,-99.0816268920898,Iztapalapa 1,1.0
09020,green,19.3884925842285,-99.0784683227539,Iztapalapa 1,1.0
09030,green,19.3849449157715,-99.0862731933594,Iztapalapa 1,1.0
09040,green,19.3733673095703,-99.0880584716797,Iztapalapa 1,1.0
09060,green,19.362174987793,-99.1122894287109,Iztapalapa 1,2.0
09070,green,19.3656349182129,-99.1060180664063,Iztapalapa 1,2.0
09080,green,19.3594570159912,-99.1244430541992,Iztapalapa 1,3.0
09089,green,19.3636226654053,-99.1246643066406,Iztapalapa 1,3.0
09090,green,19.3623046875,-99.1176605224609,Iztapalapa 1,3.0
09099,green,19.3578433990479,-99.1194610595703,Iztapalapa 1,2.0
09100,blue,19.3915367126465,-99.0435409545898,Iztapalapa 1,2.0
09130,blue,19.3832263946533,-99.0266647338867,Iztapalapa 1,3.0
09140,red,19.3780460357666,-99.015739440918,Iztapalapa 1,3.0
