ID_Credito,ID_Credito_original,ID_Tienda
fb0062,bbbfc20f-879b-48c8-bc05-1044d0fb0062,
64cf7a,fec62ccc-23d9-49be-81f6-88be6d64cf7a,
7d8cb3,176e1431-65db-43d1-bfbf-ad5ec47d8cb3,
44a180,1b2021b1-dac5-4af5-9e7b-d9e4b544a180,
5a9832,56b6855d-ed7b-419c-8d94-27c1865a9832,
11c78f,56ce1665-60b3-4fab-9f24-c693a311c78f,
93ae0b,67a93df0-19e6-45f0-a897-0422c193ae0b,
4ba147,7bcd0ab2-b608-4aba-a0f9-dd06594ba147,
b77b52,a31cfd0a-5247-487f-aa24-e32122b77b52,
e2e82f,b278d511-3947-4e9f-8144-c5fc6ee2e82f,
d0c28b,b3a3ecf7-04de-4f2f-8d94-816431d0c28b,
3f56e2,cbe0b3e0-3e72-4287-9691-6d78843f56e2,
911c05,1150cfc5-72ae-4ec4-85c3-7a4071911c05,
295233,13ab42d0-fcbc-4ea7-869a-a6df77295233,
5aa806,2262be4c-0722-4057-a33d-364ced5aa806,
e39c8d,37e16e95-0d94-4b3f-a549-108c78e39c8d,
172293,45187e8c-d3f1-4b0f-91ce-974f1a172293,
799aa4,4ad0f29a-6e34-4d27-8c1b-392378799aa4,
bfa0f4,4f8f80f5-e42a-4fb4-b046-8c03febfa0f4,
2037eb,f2cdf85f-9661-48de-9e98-2474412037eb,
c5ecb1,03c051b2-8d1c-4e7b-85db-15762bc5ecb1,
9384c7,0f697c38-81ed-44fa-af76-6edba29384c7,
1e0b6f,17a17bd3-798a-46df-b452-0f8d391e0b6f,
395cb2,1cda4b79-e988-467c-9c1c-c3b93a395cb2,
bb5987,400005a5-b17f-42d1-a23e-ae236ebb5987,
9794ad,434f43f5-3839-406c-b7e1-d9f9fc9794ad,
78a767,4ca53ea2-7dea-4fb7-bcb3-54deb478a767,
ea41c3,4eb0da07-1f9f-4749-897e-24b6b7ea41c3,
fd982e,590dc0bd-a70c-4497-ac74-133c87fd982e,
2d16ab,6aebaa36-b1db-43fd-80a9-6d3bd22d16ab,
068ab8,6b3ca613-048c-475e-8c6a-ee5e45068ab8,
b67173,7138eb00-7244-4e7f-85c8-5e5ae2b67173,
123796,7c78b6f6-6c14-41b4-b19d-79207a123796,
2f2692,86831e54-91d5-4357-b0b0-e2f6e42f2692,
4a7754,86a31b69-2e5f-4c62-aa77-b0091c4a7754,
0a762f,99ffe7f9-38fd-4d17-a421-69720f0a762f,
54b6a0,b11f12c5-73ae-4e70-b01c-fbb1c154b6a0,
a53a2a,b5848cb5-89e2-4fc3-94c0-dc3760a53a2a,
d9ab09,b613b90b-c526-4474-b870-d17018d9ab09,
6e41f6,b9450317-90b6-4f5f-8631-cd09a86e41f6,
124011,de215957-d79c-4078-9ab6-c0923e124011,
a793b2,ee3063c2-da4a-4983-b5e5-3406d8a793b2,
cc55de,f51f4928-5e5e-4c1b-8d18-384612cc55de,
d8961e,1500e774-e002-4dc5-b6a3-18199cd8961e,
915307,1892cebd-be4e-4dc1-b242-72765a915307,
6f831b,1a3e99c0-7a83-4833-90cf-644af86f831b,
18a8ff,28957f9f-4469-4ef0-8f35-1637d618a8ff,
a35c53,3e209aa3-8f48-4336-9d82-21f539a35c53,
21c33c,6425b544-7631-4970-bfc3-e4930f21c33c,
736823,7b28d670-69f3-4f8a-a092-9e9b35736823,
c57dcf,87204cb2-82d8-4c4e-a472-3a9526c57dcf,
cd8522,8818b668-2819-4a3c-8d64-244daecd8522,
ffc0ed,8f09c161-807d-4049-8f29-8445aeffc0ed,
c75e25,a2b8a56d-6456-4a12-8e18-3306dec75e25,
d1745b,aaa9b914-6fde-49d4-930a-7a19b0d1745b,
f3981e,c20885a2-1d0c-4537-b166-d318d3f3981e,
e040aa,c4475e60-8997-4a90-8586-73df0ce040aa,
