zone,zip_code,latitude,longitude,balanced_kmeans,subzone,Cuentas
Texcoco,56340,19.4032401,-98.9784968,gold,2.0,11
Texcoco,56343,19.3803877,-98.9612834,gold,1.0,10
Texcoco,56344,19.3833764,-98.9867926,gold,2.0,3
Texcoco,56346,19.4096331,-98.9790139,gold,2.0,4
Texcoco,56350,19.40983,-98.9815101,gold,2.0,19
Texcoco,56353,19.4468271,-98.9611878,green,2.0,6
Texcoco,56356,19.4286342,-98.9748228,gold,3.0,18
Texcoco,56360,19.4160204,-98.9639444,gold,1.0,9
Texcoco,56363,19.435623,-98.979606,gold,3.0,11
Texcoco,56366,19.4396566,-98.9774164,gold,3.0,7
Texcoco,56370,19.4156302,-98.9139133,blue,2.0,17
Texcoco,56373,19.4209422,-98.9178299,green,1.0,9
Texcoco,56375,19.4199036,-98.9107298,blue,2.0,1
Texcoco,56376,19.4046014,-98.9076304,blue,2.0,3
Texcoco,56377,19.4113899,-98.9180834,green,1.0,4
Texcoco,56380,19.4207483,-98.8850861,blue,3.0,8
Texcoco,56383,19.4243306,-98.8926278,blue,3.0,10
Texcoco,56386,19.411890575,-98.8863193,blue,3.0,29
Texcoco,56390,19.3988219,-98.9347146,green,2.0,12
