Cosecha,KPI,Mes,Value
2022-05,Par8,M013,0.5578408023458521
2022-06,Par8,M013,0.5078374514307775
2022-07,Par8,M013,0.6645364502521766
2021-08,Par8,M014,0.29791966890970323
2021-09,Par8,M014,0.44070315166469975
2021-10,Par8,M014,0.32288893267008384
2021-11,Par8,M014,0.379825570875963
2021-12,Par8,M014,0.184077907700273
2022-01,Par8,M014,0.3762702187532107
2022-02,Par8,M014,0.4722830901025976
2022-03,Par8,M014,0.43442773205750734
2022-04,Par8,M014,0.5464304609539721
2022-05,Par8,M014,0.6255179149296871
2022-06,Par8,M014,0.4998296941466543
2021-08,Par8,M015,0.3151858305946036
2021-09,Par8,M015,0.4311547012613659
2021-10,Par8,M015,0.4205175847703675
2021-11,Par8,M015,0.38733376046687495
2021-12,Par8,M015,0.29099527699745337
2022-01,Par8,M015,0.4146045712312343
2022-02,Par8,M015,0.5593340652067785
2022-03,Par8,M015,0.46857834535028264
2022-04,Par8,M015,0.49415193929908924
2022-05,Par8,M015,0.6230452946656132
2021-08,Par8,M016,0.3476552336178446
2021-09,Par8,M016,0.4804858656622358
2021-10,Par8,M016,0.4162862361403598
2021-11,Par8,M016,0.46465627200725357
2021-12,Par8,M016,0.4362156327743132
2022-01,Par8,M016,0.46030121191634954
2022-02,Par8,M016,0.5046647426043627
2022-03,Par8,M016,0.4996167742927831
2022-04,Par8,M016,0.6034742800145886
2021-08,Par8,M017,0.35841010129426265
2021-09,Par8,M017,0.4559735000287546
2021-10,Par8,M017,0.46833835874080204
2021-11,Par8,M017,0.49878111589790713
2021-12,Par8,M017,0.4313628426002193
2022-01,Par8,M017,0.47632053294457327
2022-02,Par8,M017,0.5746257221680535
2022-03,Par8,M017,0.49985547894144533
2021-08,Par8,M018,0.33816739939482227
2021-09,Par8,M018,0.4818711001394136
2021-10,Par8,M018,0.4959970424418137
2021-11,Par8,M018,0.5953899197734459
2021-12,Par8,M018,0.3906265865445708
2022-01,Par8,M018,0.4904603883246856
2022-02,Par8,M018,0.5665801095293089
2021-08,Par8,M019,0.3912645034224586
2021-09,Par8,M019,0.5377605901383277
2021-10,Par8,M019,0.5307768350787371
2021-11,Par8,M019,0.6313711093913549
